2005,Bayer Leverkusen,Ger,Dinamo Kiev,Ukr,3,0
2005,Real Madrid,Esp,AS Roma,Ita,4,2
2005,AS Roma,Ita,Real Madrid,Esp,0,3
2005,Real Madrid,Esp,Dinamo Kiev,Ukr,1,0
2005,Dinamo Kiev,Ukr,Real Madrid,Esp,2,2
2005,Bayer Leverkusen,Ger,AS Roma,Ita,3,1
2005,AS Roma,Ita,Bayer Leverkusen,Ger,1,1
2005,Ajax,Ned,Juventus,Ita,0,1
2005,Juventus,Ita,Ajax,Ned,1,0
2005,Maccabi Tel-Aviv,Isr,Bayern München,Ger,0,1
2005,Bayern München,Ger,Maccabi Tel-Aviv,Isr,5,1
2005,Bayern München,Ger,Ajax,Ned,4,0
2005,Ajax,Ned,Bayern München,Ger,2,2
2005,Juventus,Ita,Maccabi Tel-Aviv,Isr,1,0
2005,Maccabi Tel-Aviv,Isr,Juventus,Ita,1,1
2005,Juventus,Ita,Bayern München,Ger,1,0
2005,Bayern München,Ger,Juventus,Ita,0,1
2005,Ajax,Ned,Maccabi Tel-Aviv,Isr,3,0
2005,Maccabi Tel-Aviv,Isr,Ajax,Ned,2,1
2005,Fenerbahçe,Tur,Sparta Praha,Cze,1,0
2005,Sparta Praha,Cze,Fenerbahçe,Tur,0,1
2005,Olympique Lyon,Fra,Manchester United,Eng,2,2
2005,Manchester United,Eng,Olympique Lyon,Fra,2,1
2005,Manchester United,Eng,Fenerbahçe,Tur,6,2
2005,Fenerbahçe,Tur,Manchester United,Eng,3,0
2005,Sparta Praha,Cze,Olympique Lyon,Fra,1,2
2005,Olympique Lyon,Fra,Sparta Praha,Cze,5,0
2005,Sparta Praha,Cze,Manchester United,Eng,0,0
2005,Manchester United,Eng,Sparta Praha,Cze,4,1
2005,Fenerbahçe,Tur,Olympique Lyon,Fra,1,3
2005,Olympique Lyon,Fra,Fenerbahçe,Tur,4,2
2005,Panathinaikos,Gre,Rosenborg BK,Nor,2,1
2005,Rosenborg BK,Nor,Panathinaikos,Gre,2,2
2005,Arsenal,Eng,PSV Eindhoven,Ned,1,0
2005,PSV Eindhoven,Ned,Arsenal,Eng,1,1
2005,PSV Eindhoven,Ned,Panathinaikos,Gre,1,0
2005,Panathinaikos,Gre,PSV Eindhoven,Ned,4,1
2005,Rosenborg BK,Nor,Arsenal,Eng,1,1
2005,Arsenal,Eng,Rosenborg BK,Nor,5,1
2005,Rosenborg BK,Nor,PSV Eindhoven,Ned,1,2
2005,PSV Eindhoven,Ned,Rosenborg BK,Nor,1,0
2005,Panathinaikos,Gre,Arsenal,Eng,2,2
2005,Arsenal,Eng,Panathinaikos,Gre,1,1
2005,Shakhtar Donetsk,Ukr,AC Milan,Ita,0,1
2005,AC Milan,Ita,Shakhtar Donetsk,Ukr,4,0
2005,Celtic,Sco,FC Barcelona,Esp,1,3
2005,FC Barcelona,Esp,Celtic,Sco,1,1
2005,FC Barcelona,Esp,Shakhtar Donetsk,Ukr,3,0
2005,Shakhtar Donetsk,Ukr,FC Barcelona,Esp,2,0
2005,AC Milan,Ita,Celtic,Sco,3,1
2005,Celtic,Sco,AC Milan,Ita,0,0
2005,AC Milan,Ita,FC Barcelona,Esp,1,0
2005,FC Barcelona,Esp,AC Milan,Ita,2,1
2005,Shakhtar Donetsk,Ukr,Celtic,Sco,3,0
2005,Celtic,Sco,Shakhtar Donetsk,Ukr,1,0
2005,Valencia,Esp,Anderlecht,Bel,2,0
2005,Anderlecht,Bel,Valencia,Esp,1,2
2005,Internazionale,Ita,Werder Bremen,Ger,2,0
2005,Werder Bremen,Ger,Internazionale,Ita,1,1
2005,Werder Bremen,Ger,Valencia,Esp,2,1
2005,Valencia,Esp,Werder Bremen,Ger,0,2
2005,Anderlecht,Bel,Internazionale,Ita,1,3
2005,Internazionale,Ita,Anderlecht,Bel,3,0
2005,Anderlecht,Bel,Werder Bremen,Ger,1,2
2005,Werder Bremen,Ger,Anderlecht,Bel,5,1
2005,Valencia,Esp,Internazionale,Ita,1,5
2005,Internazionale,Ita,Valencia,Esp,0,0
2005,Paris Saint-Germain,Fra,Chelsea,Eng,0,3
2005,Chelsea,Eng,Paris Saint-Germain,Fra,0,0
2005,FC Porto,Por,CSKA Moscow,Rus,0,0
2005,CSKA Moscow,Rus,FC Porto,Por,0,1
2005,CSKA Moscow,Rus,Paris Saint-Germain,Fra,2,0
2005,Paris Saint-Germain,Fra,CSKA Moscow,Rus,1,3
2005,Chelsea,Eng,FC Porto,Por,3,1
2005,FC Porto,Por,Chelsea,Eng,2,1
2005,Chelsea,Eng,CSKA Moscow,Rus,2,0
2005,CSKA Moscow,Rus,Chelsea,Eng,0,1
2005,Paris Saint-Germain,Fra,FC Porto,Por,2,0
2005,FC Porto,Por,Paris Saint-Germain,Fra,0,0
2005,Real Madrid,Esp,Juventus,Ita,1,0
2005,Juventus,Ita,Real Madrid,Esp,2,0
2005,FC Porto,Por,Internazionale,Ita,1,1
2005,Internazionale,Ita,FC Porto,Por,3,1
2005,FC Barcelona,Esp,Chelsea,Eng,2,1
2005,Chelsea,Eng,FC Barcelona,Esp,4,2
2005,Werder Bremen,Ger,Olympique Lyon,Fra,0,3
2005,Olympique Lyon,Fra,Werder Bremen,Ger,7,2
2005,Liverpool,Eng,Bayer Leverkusen,Ger,3,1
2005,Bayer Leverkusen,Ger,Liverpool,Eng,1,3
2005,PSV Eindhoven,Ned,AS Monaco,Fra,1,0
2005,AS Monaco,Fra,PSV Eindhoven,Ned,0,2
2005,Manchester United,Eng,AC Milan,Ita,0,1
2005,AC Milan,Ita,Manchester United,Eng,1,0
2005,Bayern München,Ger,Arsenal,Eng,3,1
2005,Arsenal,Eng,Bayern München,Ger,1,0
2005,Liverpool,Eng,Juventus,Ita,2,1
2005,Juventus,Ita,Liverpool,Eng,0,0
2005,Olympique Lyon,Fra,PSV Eindhoven,Ned,1,1
2005,PSV Eindhoven,Ned,Olympique Lyon,Fra,1,1
2005,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven , Olympique Lyon
2005,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon,Penalty shootout: PSV Eindhoven - Olympique Lyon, 2,4 
2005,AC Milan,Ita,Internazionale,Ita,2,0
2005,Internazionale,Ita,AC Milan,Ita,0,3
2005,Chelsea,Eng,Bayern München,Ger,4,2
2005,Bayern München,Ger,Chelsea,Eng,3,2
2005,AC Milan,Ita,PSV Eindhoven,Ned,2,0
2005,PSV Eindhoven,Ned,AC Milan,Ita,3,1
2005,Chelsea,Eng,Liverpool,Eng,0,0
2005,Liverpool,Eng,Chelsea,Eng,1,0
2005,Liverpool,Eng,AC Milan,Ita,3,3
2005,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool , AC Milan
2005,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,Penalty shootout: Liverpool - AC Milan,2,3
