2011,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht , Partizan Belgrade
2011,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade,Penalty shootout: Anderlecht - Partizan Belgrade, 3,2 
2011,Young Boys,Sui,Tottenham Hotspur,Eng,3,2
2011,Tottenham Hotspur,Eng,Young Boys,Sui,4,0
2011,Sporting Braga,Por,Sevilla,Esp,1,0
2011,Sevilla,Esp,Sporting Braga,Por,3,4
2011,Werder Bremen,Ger,Sampdoria,Ita,3,1
2011,Sampdoria,Ita,Werder Bremen,Ger,3,2
2011,Zenit St. Petersburg,Rus,AJ Auxerre,Fra,1,0
2011,AJ Auxerre,Fra,Zenit St. Petersburg,Rus,2,0
2011,Dinamo Kiev,Ukr,Ajax,Ned,1,1
2011,Ajax,Ned,Dinamo Kiev,Ukr,2,1
2011,FC Twente Enschede,Ned,Internazionale,Ita,2,2
2011,Internazionale,Ita,FC Twente Enschede,Ned,1,0
2011,Werder Bremen,Ger,Tottenham Hotspur,Eng,2,2
2011,Tottenham Hotspur,Eng,Werder Bremen,Ger,3,0
2011,Tottenham Hotspur,Eng,FC Twente Enschede,Ned,4,1
2011,FC Twente Enschede,Ned,Tottenham Hotspur,Eng,3,3
2011,Internazionale,Ita,Werder Bremen,Ger,4,0
2011,Werder Bremen,Ger,Internazionale,Ita,3,0
2011,Internazionale,Ita,Tottenham Hotspur,Eng,4,3
2011,Tottenham Hotspur,Eng,Internazionale,Ita,3,1
2011,FC Twente Enschede,Ned,Werder Bremen,Ger,1,1
2011,Werder Bremen,Ger,FC Twente Enschede,Ned,0,2
2011,Olympique Lyon,Fra,Schalke 04,Ger,1,0
2011,Schalke 04,Ger,Olympique Lyon,Fra,3,0
2011,Benfica,Por,Hapoel Tel-Aviv,Isr,2,0
2011,Hapoel Tel-Aviv,Isr,Benfica,Por,3,0
2011,Hapoel Tel-Aviv,Isr,Olympique Lyon,Fra,1,3
2011,Olympique Lyon,Fra,Hapoel Tel-Aviv,Isr,2,2
2011,Schalke 04,Ger,Benfica,Por,2,0
2011,Benfica,Por,Schalke 04,Ger,1,2
2011,Schalke 04,Ger,Hapoel Tel-Aviv,Isr,3,1
2011,Hapoel Tel-Aviv,Isr,Schalke 04,Ger,0,0
2011,Olympique Lyon,Fra,Benfica,Por,2,0
2011,Benfica,Por,Olympique Lyon,Fra,4,3
2011,Manchester United,Eng,Glasgow Rangers,Sco,0,0
2011,Glasgow Rangers,Sco,Manchester United,Eng,0,1
2011,Bursaspor,Tur,Valencia,Esp,0,4
2011,Valencia,Esp,Bursaspor,Tur,6,1
2011,Valencia,Esp,Manchester United,Eng,0,1
2011,Manchester United,Eng,Valencia,Esp,1,1
2011,Glasgow Rangers,Sco,Bursaspor,Tur,1,0
2011,Bursaspor,Tur,Glasgow Rangers,Sco,1,1
2011,Glasgow Rangers,Sco,Valencia,Esp,1,1
2011,Valencia,Esp,Glasgow Rangers,Sco,3,0
2011,Manchester United,Eng,Bursaspor,Tur,1,0
2011,Bursaspor,Tur,Manchester United,Eng,0,3
2011,FC Barcelona,Esp,Panathinaikos,Gre,5,1
2011,Panathinaikos,Gre,FC Barcelona,Esp,0,3
2011,FC København,Den,Rubin Kazan,Rus,1,0
2011,Rubin Kazan,Rus,FC København,Den,1,0
2011,Rubin Kazan,Rus,FC Barcelona,Esp,1,1
2011,FC Barcelona,Esp,Rubin Kazan,Rus,2,0
2011,Panathinaikos,Gre,FC København,Den,0,2
2011,FC København,Den,Panathinaikos,Gre,3,1
2011,Panathinaikos,Gre,Rubin Kazan,Rus,0,0
2011,Rubin Kazan,Rus,Panathinaikos,Gre,0,0
2011,FC Barcelona,Esp,FC København,Den,2,0
2011,FC København,Den,FC Barcelona,Esp,1,1
2011,Bayern München,Ger,AS Roma,Ita,2,0
2011,AS Roma,Ita,Bayern München,Ger,3,2
2011,CFR Cluj,Rom,FC Basel,Sui,2,1
2011,FC Basel,Sui,CFR Cluj,Rom,1,0
2011,FC Basel,Sui,Bayern München,Ger,1,2
2011,Bayern München,Ger,FC Basel,Sui,3,0
2011,AS Roma,Ita,CFR Cluj,Rom,2,1
2011,CFR Cluj,Rom,AS Roma,Ita,1,1
2011,AS Roma,Ita,FC Basel,Sui,1,3
2011,FC Basel,Sui,AS Roma,Ita,2,3
2011,Bayern München,Ger,CFR Cluj,Rom,3,2
2011,CFR Cluj,Rom,Bayern München,Ger,0,4
2011,Olympique Marseille,Fra,Spartak Moscow,Rus,0,1
2011,Spartak Moscow,Rus,Olympique Marseille,Fra,0,3
2011,MSK Zilina,Svk,Chelsea,Eng,1,4
2011,Chelsea,Eng,MSK Zilina,Svk,2,1
2011,Chelsea,Eng,Olympique Marseille,Fra,2,0
2011,Olympique Marseille,Fra,Chelsea,Eng,1,0
2011,Spartak Moscow,Rus,MSK Zilina,Svk,3,0
2011,MSK Zilina,Svk,Spartak Moscow,Rus,1,2
2011,Spartak Moscow,Rus,Chelsea,Eng,0,2
2011,Chelsea,Eng,Spartak Moscow,Rus,4,1
2011,Olympique Marseille,Fra,MSK Zilina,Svk,1,0
2011,MSK Zilina,Svk,Olympique Marseille,Fra,0,7
2011,Real Madrid,Esp,Ajax,Ned,2,0
2011,Ajax,Ned,Real Madrid,Esp,0,4
2011,AC Milan,Ita,AJ Auxerre,Fra,2,0
2011,AJ Auxerre,Fra,AC Milan,Ita,0,2
2011,AJ Auxerre,Fra,Real Madrid,Esp,0,1
2011,Real Madrid,Esp,AJ Auxerre,Fra,4,0
2011,Ajax,Ned,AC Milan,Ita,1,1
2011,AC Milan,Ita,Ajax,Ned,0,2
2011,Ajax,Ned,AJ Auxerre,Fra,2,1
2011,AJ Auxerre,Fra,Ajax,Ned,2,1
2011,Real Madrid,Esp,AC Milan,Ita,2,0
2011,AC Milan,Ita,Real Madrid,Esp,2,2
2011,Arsenal,Eng,Sporting Braga,Por,6,0
2011,Sporting Braga,Por,Arsenal,Eng,2,0
2011,Shakhtar Donetsk,Ukr,Partizan Belgrade,Srb,1,0
2011,Partizan Belgrade,Srb,Shakhtar Donetsk,Ukr,0,3
2011,Partizan Belgrade,Srb,Arsenal,Eng,1,3
2011,Arsenal,Eng,Partizan Belgrade,Srb,3,1
2011,Sporting Braga,Por,Shakhtar Donetsk,Ukr,0,3
2011,Shakhtar Donetsk,Ukr,Sporting Braga,Por,2,0
2011,Sporting Braga,Por,Partizan Belgrade,Srb,2,0
2011,Partizan Belgrade,Srb,Sporting Braga,Por,0,1
2011,Arsenal,Eng,Shakhtar Donetsk,Ukr,5,1
2011,Shakhtar Donetsk,Ukr,Arsenal,Eng,2,1
2011,AS Roma,Ita,Shakhtar Donetsk,Ukr,2,3
2011,Shakhtar Donetsk,Ukr,AS Roma,Ita,3,0
2011,AC Milan,Ita,Tottenham Hotspur,Eng,0,1
2011,Tottenham Hotspur,Eng,AC Milan,Ita,0,0
2011,Valencia,Esp,Schalke 04,Ger,1,1
2011,Schalke 04,Ger,Valencia,Esp,3,1
2011,Internazionale,Ita,Bayern München,Ger,0,1
2011,Bayern München,Ger,Internazionale,Ita,2,3
2011,Olympique Lyon,Fra,Real Madrid,Esp,1,1
2011,Real Madrid,Esp,Olympique Lyon,Fra,3,0
2011,Arsenal,Eng,FC Barcelona,Esp,2,1
2011,FC Barcelona,Esp,Arsenal,Eng,3,1
2011,Olympique Marseille,Fra,Manchester United,Eng,0,0
2011,Manchester United,Eng,Olympique Marseille,Fra,2,1
2011,FC København,Den,Chelsea,Eng,0,2
2011,Chelsea,Eng,FC København,Den,0,0
2011,Real Madrid,Esp,Tottenham Hotspur,Eng,4,0
2011,Tottenham Hotspur,Eng,Real Madrid,Esp,0,1
2011,Internazionale,Ita,Schalke 04,Ger,2,5
2011,Schalke 04,Ger,Internazionale,Ita,2,1
2011,Chelsea,Eng,Manchester United,Eng,0,1
2011,Manchester United,Eng,Chelsea,Eng,2,1
2011,FC Barcelona,Esp,Shakhtar Donetsk,Ukr,5,1
2011,Shakhtar Donetsk,Ukr,FC Barcelona,Esp,0,1
2011,Schalke 04,Ger,Manchester United,Eng,0,2
2011,Manchester United,Eng,Schalke 04,Ger,4,1
2011,Real Madrid,Esp,FC Barcelona,Esp,0,2
2011,FC Barcelona,Esp,Real Madrid,Esp,1,1
2011,FC Barcelona,Esp,Manchester United,Eng,3,1
