2003,Borussia Dortmund,Ger,PSV Eindhoven,Ned,1,1
2003,AJ Auxerre,Fra,Arsenal,Eng,0,1
2003,Arsenal,Eng,AJ Auxerre,Fra,1,2
2003,Valencia,Esp,Liverpool,Eng,2,0
2003,Liverpool,Eng,Valencia,Esp,0,1
2003,FC Basel,Sui,Spartak Moscow,Rus,2,0
2003,Spartak Moscow,Rus,FC Basel,Sui,0,2
2003,Spartak Moscow,Rus,Valencia,Esp,0,3
2003,Valencia,Esp,Spartak Moscow,Rus,3,0
2003,Liverpool,Eng,FC Basel,Sui,1,1
2003,FC Basel,Sui,Liverpool,Eng,3,3
2003,Liverpool,Eng,Spartak Moscow,Rus,5,0
2003,Spartak Moscow,Rus,Liverpool,Eng,1,3
2003,Valencia,Esp,FC Basel,Sui,6,2
2003,FC Basel,Sui,Valencia,Esp,2,2
2003,Racing Genk,Bel,AEK Athens,Gre,0,0
2003,AEK Athens,Gre,Racing Genk,Bel,1,1
2003,AS Roma,Ita,Real Madrid,Esp,0,3
2003,Real Madrid,Esp,AS Roma,Ita,0,1
2003,Real Madrid,Esp,Racing Genk,Bel,6,0
2003,Racing Genk,Bel,Real Madrid,Esp,1,1
2003,AEK Athens,Gre,AS Roma,Ita,0,0
2003,AS Roma,Ita,AEK Athens,Gre,1,1
2003,AEK Athens,Gre,Real Madrid,Esp,3,3
2003,Real Madrid,Esp,AEK Athens,Gre,2,2
2003,Racing Genk,Bel,AS Roma,Ita,0,1
2003,AS Roma,Ita,Racing Genk,Bel,0,0
2003,Rosenborg BK,Nor,Internazionale,Ita,2,2
2003,Internazionale,Ita,Rosenborg BK,Nor,3,0
2003,Ajax,Ned,Olympique Lyon,Fra,2,1
2003,Olympique Lyon,Fra,Ajax,Ned,0,2
2003,Olympique Lyon,Fra,Rosenborg BK,Nor,5,0
2003,Rosenborg BK,Nor,Olympique Lyon,Fra,1,1
2003,Internazionale,Ita,Ajax,Ned,1,0
2003,Ajax,Ned,Internazionale,Ita,1,2
2003,Internazionale,Ita,Olympique Lyon,Fra,1,2
2003,Olympique Lyon,Fra,Internazionale,Ita,3,3
2003,Rosenborg BK,Nor,Ajax,Ned,0,0
2003,Ajax,Ned,Rosenborg BK,Nor,1,1
2003,Feyenoord,Ned,Juventus,Ita,1,1
2003,Juventus,Ita,Feyenoord,Ned,2,0
2003,Dinamo Kiev,Ukr,Newcastle United,Eng,2,0
2003,Newcastle United,Eng,Dinamo Kiev,Ukr,2,1
