2002,Lokomotiv Moscow,Rus,AS Roma,Ita,0,1
2002,Liverpool,Eng,Boavista,Por,1,1
2002,Boavista,Por,Liverpool,Eng,1,1
2002,Dinamo Kiev,Ukr,Borussia Dortmund,Ger,2,2
2002,Borussia Dortmund,Ger,Dinamo Kiev,Ukr,1,0
2002,Borussia Dortmund,Ger,Liverpool,Eng,0,0
2002,Liverpool,Eng,Borussia Dortmund,Ger,2,0
2002,Boavista,Por,Dinamo Kiev,Ukr,3,1
2002,Dinamo Kiev,Ukr,Boavista,Por,1,0
2002,Boavista,Por,Borussia Dortmund,Ger,2,1
2002,Borussia Dortmund,Ger,Boavista,Por,2,1
2002,Liverpool,Eng,Dinamo Kiev,Ukr,1,0
2002,Dinamo Kiev,Ukr,Liverpool,Eng,1,2
2002,Schalke 04,Ger,Panathinaikos,Gre,0,2
2002,Panathinaikos,Gre,Schalke 04,Ger,2,0
2002,Real Mallorca,Esp,Arsenal,Eng,1,0
2002,Arsenal,Eng,Real Mallorca,Esp,3,1
2002,Arsenal,Eng,Schalke 04,Ger,3,2
2002,Schalke 04,Ger,Arsenal,Eng,3,1
2002,Panathinaikos,Gre,Real Mallorca,Esp,2,0
2002,Real Mallorca,Esp,Panathinaikos,Gre,1,0
2002,Panathinaikos,Gre,Arsenal,Eng,1,0
2002,Arsenal,Eng,Panathinaikos,Gre,2,1
2002,Schalke 04,Ger,Real Mallorca,Esp,0,1
2002,Real Mallorca,Esp,Schalke 04,Ger,0,4
2002,FC Nantes,Fra,PSV Eindhoven,Ned,4,1
2002,PSV Eindhoven,Ned,FC Nantes,Fra,0,0
2002,Galatasaray,Tur,Lazio Roma,Ita,1,0
2002,Lazio Roma,Ita,Galatasaray,Tur,1,0
2002,Lazio Roma,Ita,FC Nantes,Fra,1,3
2002,FC Nantes,Fra,Lazio Roma,Ita,1,0
2002,PSV Eindhoven,Ned,Galatasaray,Tur,3,1
2002,Galatasaray,Tur,PSV Eindhoven,Ned,2,0
2002,PSV Eindhoven,Ned,Lazio Roma,Ita,1,0
2002,Lazio Roma,Ita,PSV Eindhoven,Ned,2,1
2002,FC Nantes,Fra,Galatasaray,Tur,0,1
2002,Galatasaray,Tur,FC Nantes,Fra,0,0
2002,Celtic,Sco,Rosenborg BK,Nor,1,0
2002,Rosenborg BK,Nor,Celtic,Sco,2,0
2002,FC Porto,Por,Juventus,Ita,0,0
2002,Juventus,Ita,FC Porto,Por,3,1
2002,Juventus,Ita,Celtic,Sco,3,2
2002,Celtic,Sco,Juventus,Ita,4,3
2002,Rosenborg BK,Nor,FC Porto,Por,1,2
2002,FC Porto,Por,Rosenborg BK,Nor,1,0
2002,Rosenborg BK,Nor,Juventus,Ita,1,1
2002,Juventus,Ita,Rosenborg BK,Nor,1,0
2002,Celtic,Sco,FC Porto,Por,1,0
2002,FC Porto,Por,Celtic,Sco,3,0
2002,Bayer Leverkusen,Ger,Fenerbahçe,Tur,2,1
2002,Fenerbahçe,Tur,Bayer Leverkusen,Ger,1,2
2002,FC Barcelona,Esp,Olympique Lyon,Fra,2,0
2002,Olympique Lyon,Fra,FC Barcelona,Esp,2,3
2002,Olympique Lyon,Fra,Bayer Leverkusen,Ger,0,1
2002,Bayer Leverkusen,Ger,Olympique Lyon,Fra,2,4
2002,Fenerbahçe,Tur,FC Barcelona,Esp,0,3
2002,FC Barcelona,Esp,Fenerbahçe,Tur,1,0
2002,Fenerbahçe,Tur,Olympique Lyon,Fra,0,1
2002,Olympique Lyon,Fra,Fenerbahçe,Tur,3,1
2002,Bayer Leverkusen,Ger,FC Barcelona,Esp,2,1
2002,FC Barcelona,Esp,Bayer Leverkusen,Ger,2,1
2002,Lille OSC,Fra,Deportivo La Coruña,Esp,1,1
2002,Deportivo La Coruña,Esp,Lille OSC,Fra,1,1
2002,Olympiakos Piraeus,Gre,Manchester United,Eng,0,2
2002,Manchester United,Eng,Olympiakos Piraeus,Gre,3,0
2002,Manchester United,Eng,Lille OSC,Fra,1,0
2002,Lille OSC,Fra,Manchester United,Eng,1,1
2002,Deportivo La Coruña,Esp,Olympiakos Piraeus,Gre,2,2
2002,Olympiakos Piraeus,Gre,Deportivo La Coruña,Esp,1,1
2002,Deportivo La Coruña,Esp,Manchester United,Eng,2,1
